utc	load1	load5	load15
2026-09-17T05:37:42Z	6.42	8.50	11.22
2026-09-17T05:38:12Z	6.78	8.39	11.09
2026-09-17T05:38:42Z	6.58	8.19	10.94
2026-09-17T05:39:12Z	9.02	8.60	10.98
2026-09-17T05:39:46Z	8.74	8.60	10.90
2026-09-17T05:40:19Z	7.94	8.43	10.77
2026-09-17T05:40:49Z	7.35	8.24	10.63
2026-09-17T05:41:19Z	7.56	8.19	10.54
2026-09-17T05:41:49Z	8.32	8.32	10.50
2026-09-17T05:42:22Z	9.02	8.47	10.47
2026-09-17T05:42:52Z	13.52	9.59	10.78
2026-09-17T05:43:22Z	12.49	9.73	10.79
2026-09-17T05:43:52Z	11.35	9.73	10.75
2026-09-17T05:44:22Z	9.80	9.51	10.65
2026-09-17T05:44:52Z	8.61	9.25	10.53
2026-09-17T05:45:22Z	9.15	9.27	10.49
2026-09-17T05:45:52Z	8.64	9.13	10.40
2026-09-17T05:46:22Z	8.61	9.07	10.34
2026-09-17T05:46:53Z	8.60	9.03	10.29
2026-09-17T05:47:27Z	8.89	9.06	10.25
2026-09-17T05:47:57Z	8.65	8.99	10.18
2026-09-17T05:48:28Z	7.84	8.76	10.07
2026-09-17T05:48:58Z	7.60	8.61	9.98
2026-09-17T05:49:28Z	7.54	8.50	9.90
2026-09-17T05:49:58Z	8.94	8.78	9.95
2026-09-17T05:50:28Z	11.57	9.46	10.14
2026-09-17T05:50:58Z	10.70	9.46	10.12
2026-09-17T05:51:28Z	11.32	9.69	10.17
2026-09-17T05:51:58Z	10.16	9.57	10.11
2026-09-17T05:52:28Z	9.29	9.42	10.04
2026-09-17T05:52:58Z	8.84	9.30	9.98
2026-09-17T05:53:28Z	8.21	9.09	9.89
2026-09-17T05:53:58Z	8.05	8.97	9.83
2026-09-17T05:54:28Z	8.08	8.89	9.77
2026-09-17T05:54:58Z	8.50	8.91	9.75
2026-09-17T05:55:29Z	8.96	8.98	9.74
2026-09-17T05:56:05Z	8.94	8.98	9.71
2026-09-17T05:56:35Z	11.18	9.51	9.87
2026-09-17T05:57:05Z	10.58	9.53	9.86
2026-09-17T05:57:35Z	10.23	9.54	9.86
2026-09-17T05:58:05Z	9.67	9.47	9.82
2026-09-17T05:58:35Z	9.33	9.41	9.79
2026-09-17T05:59:05Z	9.53	9.44	9.78
2026-09-17T05:59:35Z	10.93	9.81	9.90
2026-09-17T06:00:05Z	10.97	9.93	9.94
2026-09-17T06:00:35Z	10.85	10.00	9.96
2026-09-17T06:01:05Z	9.60	9.78	9.89
2026-09-17T06:01:41Z	8.52	9.49	9.79
2026-09-17T06:02:12Z	8.85	9.45	9.76
2026-09-17T06:02:42Z	14.11	10.69	10.17
2026-09-17T06:03:12Z	14.93	11.15	10.33
2026-09-17T06:03:42Z	13.10	11.06	10.33
2026-09-17T06:04:12Z	16.14	11.97	10.65
2026-09-17T06:04:42Z	16.25	12.43	10.85
2026-09-17T06:05:12Z	13.65	12.16	10.81
2026-09-17T06:05:42Z	12.24	11.97	10.79
2026-09-17T06:06:12Z	10.17	11.49	10.67
2026-09-17T06:06:42Z	8.79	11.03	10.54
2026-09-17T06:07:12Z	8.10	10.64	10.43
2026-09-17T06:07:42Z	7.65	10.29	10.32
2026-09-17T06:08:12Z	7.59	10.01	10.22
2026-09-17T06:08:42Z	8.62	10.04	10.22
2026-09-17T06:09:12Z	7.96	9.75	10.12
2026-09-17T06:09:42Z	7.67	9.50	10.03
2026-09-17T06:10:12Z	7.38	9.26	9.93
2026-09-17T06:10:48Z	6.90	8.94	9.80
2026-09-17T06:11:18Z	6.53	8.66	9.67
2026-09-17T06:11:48Z	7.64	8.72	9.66
2026-09-17T06:12:18Z	6.75	8.41	9.53
2026-09-17T06:12:48Z	5.67	7.99	9.35
2026-09-17T06:13:18Z	5.07	7.62	9.19
2026-09-17T06:13:48Z	6.66	7.72	9.16
2026-09-17T06:14:18Z	6.32	7.53	9.06
2026-09-17T06:14:48Z	5.45	7.21	8.90
2026-09-17T06:15:22Z	4.35	6.74	8.68
2026-09-17T06:15:52Z	3.58	6.32	8.48
2026-09-17T06:16:22Z	3.08	5.94	8.28
2026-09-17T06:16:52Z	2.65	5.56	8.08
2026-09-17T06:17:22Z	2.54	5.25	7.90
2026-09-17T06:17:52Z	2.67	5.02	7.73
2026-09-17T06:18:22Z	2.72	4.81	7.58
2026-09-17T06:18:56Z	2.68	4.60	7.42
2026-09-17T06:19:26Z	2.55	4.38	7.26
2026-09-17T06:19:56Z	2.38	4.17	7.09
2026-09-17T06:20:26Z	2.63	4.06	6.96
2026-09-17T06:20:56Z	2.84	3.95	6.82
2026-09-17T06:21:26Z	2.88	3.86	6.69
2026-09-17T06:21:56Z	2.93	3.78	6.58
2026-09-17T06:22:26Z	2.67	3.64	6.44
2026-09-17T06:22:56Z	2.55	3.51	6.31
2026-09-17T06:23:27Z	2.52	3.41	6.18
2026-09-17T06:23:57Z	2.63	3.36	6.08
2026-09-17T06:24:27Z	2.56	3.27	5.96
2026-09-17T06:24:57Z	2.70	3.24	5.87
2026-09-17T06:25:27Z	2.76	3.20	5.77
2026-09-17T06:25:57Z	2.74	3.15	5.67
