kind        location        snippet
--------------------------------------------------------------------------------
disasm      0x1071          push rax
disasm      0x1072          push rsp
disasm      0x110d          push rbp
disasm      0x1150          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
disasm      0x110d          push rbp
disasm      0x1150          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
disasm      0x110d          push rbp
disasm      0x1150          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
disasm      0x110d          push rbp
disasm      0x1150          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
disasm      0x1150          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
disasm      0x1150          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
disasm      0x1200          push rbp
disasm      0x11d0          push rbp
disasm      0x1200          push rbp
